state,year,net in,net out,net total
South Carolina,2016,0.03369436035978717,0.026343006217177233,0.007351354142609939
South Dakota,2016,0.037230977522510283,0.03498324216109468,0.0022477353614156065
Tennessee,2016,0.02596386875882566,0.027827748137210877,-0.0018638793783852178
Texas,2016,0.019364584950852533,0.01636598096199659,0.002998603988855944
Utah,2016,0.03566765392819504,0.029025458631879733,0.006642195296315309
Vermont,2016,0.03432748830698739,0.038232707497922395,-0.0039052191909350054
Virginia,2016,0.03177990391825509,0.033432987944060015,-0.0016530840258049267
Washington,2016,0.03578502382423839,0.02718739589827361,0.00859762792596478
West Virginia,2016,0.02606492815797569,0.028420198901640693,-0.002355270743665004
Wisconsin,2016,0.020800391589508874,0.02002416290956457,0.0007762286799443026
Wyoming,2016,0.04583191214179481,0.047180110209571746,-0.0013481980677769387
Alabama,2017,0.02319880531433434,0.021159296558595754,0.002039508755738585
Alaska,2017,0.0413190235252588,0.05831107926789553,-0.01699205574263673
Arizona,2017,0.037738066297370663,0.024032017560715026,0.013706048736655638
Arkansas,2017,0.02675216741707219,0.023678961420751245,0.003073205996320945
California,2017,0.013384107203236843,0.01699071693044467,-0.0036066097272078254
Colorado,2017,0.04094576926977011,0.035486512199447436,0.005459257070322673
Connecticut,2017,0.02343027030644516,0.02789987943156649,-0.004469609125121329
Delaware,2017,0.04045570943956054,0.03770585771757569,0.0027498517219848514
District of Columbia,2017,0.08211182663804559,0.09515906190359104,-0.013047235265545451
Florida,2017,0.02727064714952376,0.021935850333618157,0.005334796815905603
Georgia,2017,0.027077924290865855,0.024950909177206982,0.0021270151136588734
Hawaii,2017,0.032930710614921144,0.04711096334234094,-0.014180252727419795
Idaho,2017,0.0424387698606171,0.03405101494193499,0.008387754918682107
Illinois,2017,0.01541092860537305,0.026659462913552135,-0.011248534308179086
Indiana,2017,0.021586571268454174,0.020143183212783893,0.0014433880556702812
Iowa,2017,0.024806880214234217,0.025624739863264544,-0.0008178596490303267
Kansas,2017,0.029946557522354596,0.03461681141861541,-0.004670253896260815
Kentucky,2017,0.023609993826458314,0.0226922770761472,0.0009177167503111143
Louisiana,2017,0.01573144660798512,0.021997339107925385,-0.006265892499940265
Maine,2017,0.02589765089887955,0.020907232873412326,0.004990418025467222
Maryland,2017,0.027664296317622874,0.03086536307082669,-0.0032010667532038177
Massachusetts,2017,0.021546885489082297,0.02567682251009404,-0.004129937021011741
Michigan,2017,0.015103239867104238,0.015104741264011972,-1.5013969077333489e-06
Minnesota,2017,0.02098077592379614,0.022762704310415396,-0.001781928386619256
Mississippi,2017,0.024957490250158552,0.026500286758481446,-0.0015427965083228933
Missouri,2017,0.02731131776359022,0.025531474032713348,0.0017798437308768726
Montana,2017,0.03411953770797848,0.027255549479739315,0.006863988228239165
Nebraska,2017,0.027719632967078217,0.025427505256135796,0.002292127710942421
