,state,year,net total,pct_renters,median_age,pct_female,pct_age_20_34,pct_age_65_plus,pct_college_grads,pct_unemployed,pct_nilf,median_income
183,New Jersey,2013,-0.007410652267072736,0.326734491,39,0.512313443,0.191406912,0.144800417,0.261649882,0.047764783,0.273080057,25000
184,New Mexico,2013,-0.009026541931712418,0.308513888,37,0.503281802,0.201171829,0.148038136,0.177251381,0.044447119,0.321492917,16500
185,New York,2013,-0.006676493961126994,0.4208781,38,0.514447696,0.215770271,0.143742341,0.246268827,0.044187084,0.295802526,21000
186,North Carolina,2013,0.0027500095498368612,0.339222649,37,0.512506016,0.20159798,0.142551934,0.197943757,0.04772676,0.294230945,19500
187,North Dakota,2013,0.011996098763864982,0.294625466,35,0.490386277,0.238762333,0.141732088,0.195539631,0.013298442,0.232027404,26200
188,Ohio,2013,-0.0014259023362232157,0.305432343,39,0.511232405,0.194047987,0.151459345,0.184830221,0.040305396,0.292619236,20600
189,Oklahoma,2013,0.0021173500605682558,0.322055863,36,0.505411409,0.210994845,0.141996194,0.163688838,0.03015659,0.294783003,20000
190,Oregon,2013,0.007895332590790387,0.372770934,39,0.505075361,0.20209793,0.15366896,0.21576208,0.046162595,0.305711738,20000
191,Pennsylvania,2013,-0.001879697153542189,0.267593647,40,0.511544371,0.194366735,0.163740926,0.208595781,0.042641419,0.302084869,21950
192,Rhode Island,2013,-0.002121000649221161,0.353283037,39,0.511199598,0.208103386,0.154539515,0.238471114,0.048429355,0.278489716,22504
193,South Carolina,2013,0.007587434613348352,0.308614385,38,0.514327499,0.200431051,0.151925751,0.181386011,0.046860428,0.310264702,18500
194,South Dakota,2013,0.0009741918343992087,0.290647041,36,0.497886675,0.20368527,0.146717214,0.178752647,0.022308573,0.243581018,22300
195,Tennessee,2013,0.004010484036619948,0.318642705,38,0.511022667,0.20061321,0.14600111,0.174147295,0.042771235,0.306806304,18300
196,Texas,2013,0.005094821717549904,0.346563412,34,0.502943245,0.217939426,0.11193812,0.181624317,0.03504402,0.268064892,19500
197,Utah,2013,0.0018014789282185459,0.282259265,30,0.495858487,0.23608901,0.097545152,0.186814516,0.027642033,0.238107714,20000
198,Vermont,2013,0.0020492505465279434,0.251275873,42,0.508031853,0.184102261,0.164936246,0.250115698,0.027614382,0.286692306,23800
199,Virginia,2013,0.0033422337375049634,0.32214958,37,0.508949501,0.210609044,0.133765354,0.255466651,0.034099297,0.270142324,24600
200,Washington,2013,0.00220899705799946,0.355753488,37,0.500306108,0.21290698,0.13642872,0.231704049,0.039495907,0.284739692,24000
